2000/1/1,0:0:0,-10.39
2000/1/1,0:0:0,-9.42
2000/1/1,0:0:0,-8.75
2000/1/1,0:0:0,-7.44
2000/1/1,0:0:0,-6.06
2000/1/1,0:0:0,-4.61
2000/1/1,0:0:0,-2.98
2000/1/1,0:0:0,-1.20
2000/1/1,0:0:0,0.41
2000/1/1,0:0:0,2.18
2000/1/1,0:0:0,3.89
2000/1/1,0:0:0,5.74
2000/1/1,0:0:0,7.55
2000/1/1,0:0:0,9.04
2000/1/1,0:0:0,9.69
2000/1/1,0:0:0,8.67
2000/1/1,0:0:0,8.21
2000/1/1,0:0:0,9.50
2000/1/1,0:0:0,11.32
2000/1/1,0:0:0,12.94
2000/1/1,0:0:0,12.76
2000/1/1,0:0:0,12.94
2000/1/1,0:0:0,12.85
2000/1/1,0:0:0,13.03
2000/1/1,0:0:0,12.94
2000/1/1,0:0:0,13.83
2000/1/1,0:0:0,14.10
2000/1/1,0:0:0,13.83
2000/1/1,0:0:0,14.18
2000/1/1,0:0:0,14.27
2000/1/1,0:0:0,14.54
2000/1/1,0:0:0,14.54
2000/1/1,0:0:0,14.36
2000/1/1,0:0:0,14.18
2000/1/1,0:0:0,14.18
2000/1/1,0:0:0,14.36
2000/1/1,0:0:0,14.71
2000/1/1,0:0:0,14.63
2000/1/1,0:0:0,14.89
2000/1/1,0:0:0,14.98
2000/1/1,0:0:0,14.89
2000/1/1,0:0:0,14.98
2000/1/1,0:0:0,15.33
2000/1/1,0:0:0,15.24
2000/1/1,0:0:0,15.77
2000/1/1,0:0:0,16.04
2000/1/1,0:0:0,15.77
2000/1/1,0:0:0,15.69
2000/1/1,0:0:0,15.77
2000/1/1,0:0:0,16.83
2000/1/1,0:0:0,17.53
2000/1/1,0:0:0,16.56
2000/1/1,0:0:0,17.35
2000/1/1,0:0:0,17.27
2000/1/1,0:0:0,17.35
2000/1/1,0:0:0,17.18
2000/1/1,0:0:0,17.35
2000/1/1,0:0:0,17.09
2000/1/1,0:0:0,18.40
2000/1/1,0:0:0,17.27
2000/1/1,0:0:0,17.97
2000/1/1,0:0:0,17.18
2000/1/1,0:0:0,17.18
2000/1/1,0:0:0,18.67
2000/1/1,0:0:0,18.58
2000/1/1,0:0:0,18.49
2000/1/1,0:0:0,18.23
2000/1/1,0:0:0,17.35
2000/1/1,0:0:0,18.84
2000/1/1,0:0:0,18.05
2000/1/1,0:0:0,19.45
2000/1/1,0:0:0,19.19
2000/1/1,0:0:0,19.80
2000/1/1,0:0:0,20.24
2000/1/1,0:0:0,20.94
2000/1/1,0:0:0,19.28
2000/1/1,0:0:0,20.07
2000/1/1,0:0:0,20.77
2000/1/1,0:0:0,19.54
2000/1/1,0:0:0,20.15
2000/1/1,0:0:0,19.54
2000/1/1,0:0:0,18.32
2000/1/1,0:0:0,20.59
2000/1/1,0:0:0,18.67
2000/1/1,0:0:0,18.75
2000/1/1,0:0:0,20.24
2000/1/1,0:0:0,19.28
